Aries ft. Peter Hook & Georgia (Episode Three);Gorillaz;Song Machine;2020;https://upload.wikimedia.org/wikipedia/en/7/7a/Aries_single_cover.jpg;https://open.spotify.com/embed/track/2haIfONRw1Bhi2zSp67MYU;https://www.youtube.com/embed/PKXloFW_ZCA?si=A-Uml4EbVo8WUyhW;Gorillaz - Aries ft. Peter Hook & Georgia (Episode Three).mp3,
Dancing Queen;ABBA;Arrival;1976;https://m.media-amazon.com/images/M/MV5BNmFhMTk3YTYtYjcyMS00MTc3LWJjMDAtMjMyZmUxYzdkMTUxXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg;https://open.spotify.com/embed/track/0GjEhVFGZW8afUYGChu3Rr?utm_source=generator;https://www.youtube.com/embed/xFrGuyw1V8s?si=IiFofkbc8JAT2S6P;ABBA - Dancing Queen (Official Music Video).mp3,
Maniac;Michael Sambelo;Flashdance;1983;https://i.musicaimg.com/letras/max/67021.jpg;https://open.spotify.com/embed/track/0QKfiqpEU4h9ycPSzIFwYe;https://www.youtube.com/embed/rqODnkrhMbE?si=QdzuKJMcuY0Ap5KJ;Michael Sembello - Maniac.mp3,
Reina;C.R.O;Single-Reina;2018;https://s.mxmcdn.net/images-storage/albums4/5/8/7/2/1/3/40312785_800_800.jpg;https://open.spotify.com/embed/track/6GM0297kyJJoleWjJtvcOu;https://www.youtube.com/embed/LpfiggFKEpo;C.R.O - Reina.mp3,
Caraluna;Bacilos;Caraluna;2002;https://cdns-images.dzcdn.net/images/cover/b8f1b09675645753201720e15c87dc02/350x350.jpg;https://open.spotify.com/embed/track/7DhYjNLksXZhbRQeheAums;https://www.youtube.com/embed/-zgDXIi1uYw;Bacilos - Caraluna (Official Music Video).mp3,
Tabaco y Chanel;Bacilos;Bacilos (Re-Issue);2001;https://images.genius.com/1d1f75379ed6d6d246ce845df11dba4a.491x491x1.jpg;https://open.spotify.com/embed/track/48svUiwMMYQRPyesVEnof1;https://www.youtube.com/embed/6JqnbsQpljU;Bacilos - Tabaco y Chanel (Official Music Video).mp3,
Los Malaventurados No Lloran;PXNDX;Amantes Sunt Amentes;2006;https://i.pinimg.com/originals/19/c7/0d/19c70d99fa08e67febf7cd0f850695a2.jpg;https://open.spotify.com/embed/track/66PRDvzBHhbcdbc4T4mrZY;https://www.youtube.com/embed/CF72RkHcKqs;PXNDX - Los Malaventurados No Lloran - PANDA - (REMASTERED IN HD).mp3,
Mariposa Traicionera;MANA;Revolucion de amor;2010;https://i.scdn.co/image/ab67616d0000b273c8c3cc4fb0e109762498516f;https://open.spotify.com/embed/track/0Pjsm4AaJGPOXHoB6xCgJB?utm_source=generator;https://www.youtube.com/embed/av3wkasS-WQ?si=rlpXNvMcZHLyNwXg;Mariposa Traicionera (2020 Remasterizado).mp3,
Last One Standing;Simple plan;Get Your Heart On! (Deluxe Edition);2011;https://upload.wikimedia.org/wikipedia/en/a/a8/Get_Your_Heart_On%21_%28Simple_Plan_album_-_cover_art%29.jpg;https://open.spotify.com/embed/track/10lP5x0csV13P1aZyLYADs;https://www.youtube.com/embed/6acJt5bZenE;Simple Plan - Last One Standing (Lyric Vídeo).mp3,
Distant Echoes;VXLLAIN, VØJ, Narvent; Single;2023;https://i.scdn.co/image/ab67616d0000b273ae71c97bfe3e39d1f63e7ebc;https://open.spotify.com/embed/track/2DgL722jfzULRS4tGo5OEq?utm_source=generator;https://www.youtube.com/embed/IzTJQiFoNGE?si=3hmmTgFQ0f0D2bgD;VXLLAIN, VØJ, Narvent - Distant Echoes (4K Official Music Video).mp3,
Do You Really Want To Hurt Me;Culture Club;Kissing to Be Clever;1982;https://i.scdn.co/image/ab67616d0000b2733236b9c08b319f7e50e74f53;https://open.spotify.com/embed/track/1I6q6nwNjNgik1Qe8Oi0Y7?utm_source=generator;https://www.youtube.com/embed/2nXGPZaTKik?si=WxpyNn1nyWOfIxFI;Culture Club - Do You Really Want To Hurt Me.mp3,
